latitude,longitude,acq_date,acq_time,frp,brightness,bright_t31,confidence,risk_score,risk_level,hospital_km,industry_km,factory_km,powerplant_km,georisk_score,georisk_level
29.22012,88.95742,2026-08-07,722,11.32,349.19,311.38,n,38.6,Low,1676.61,1675.28,1680.38,1691.85,105.84,High
29.26978,88.90321,2026-08-07,722,3.97,336.33,309.42,l,25.94,Low,1677.26,1675.95,1681.03,1692.38,93.21,High
8.76202,78.18221,2026-08-07,858,5.28,335.65,274.04,n,26.54,Low,946.44,944.31,955.06,957.9,64.58,Medium
8.75627,78.18294,2026-08-07,858,5.28,351.99,275.14,n,35.62,Low,947.07,944.95,955.69,958.53,73.68,Medium
24.45387,68.30828,2026-08-07,902,4.49,335.35,294.28,n,25.78,Low,1286.94,1285.68,1285.8,1289.29,77.26,Medium
24.45394,68.31149,2026-08-07,902,4.14,335.11,298.14,n,25.39,Low,1286.67,1285.41,1285.54,1289.03,76.86,Medium
22.92664,70.10907,2026-08-07,902,3.96,333.56,292.97,n,24.39,Low,1039.98,1038.72,1038.85,1042.36,65.99,Medium
29.9692,72.58241,2026-08-07,905,1.89,333.64,293.09,n,22.88,Low,1493.6,1492.62,1492.66,1495.29,82.62,High
29.99058,72.58743,2026-08-07,905,4.97,344.35,293.35,n,31.14,Low,1495.57,1494.59,1494.63,1497.26,90.96,High
30.27074,73.32553,2026-08-07,905,8.07,352.08,294.2,n,37.76,Low,1497.31,1496.37,1496.41,1498.9,97.65,High
30.27043,73.32155,2026-08-07,905,4.6,330.42,294.05,n,23.13,Low,1497.42,1496.48,1496.51,1499.0,83.02,High
30.27128,73.32471,2026-08-07,905,8.61,367.0,294.51,h,46.46,Medium,1497.4,1496.46,1496.49,1498.98,106.35,High
30.65503,72.24939,2026-08-07,905,5.05,350.62,294.87,n,34.69,Low,1576.09,1575.1,1575.14,1577.77,97.73,High
30.66016,72.24886,2026-08-07,905,5.05,342.65,293.1,n,30.26,Low,1576.63,1575.64,1575.68,1578.31,93.32,High
30.79083,71.86834,2026-08-07,905,14.67,342.95,294.04,n,37.64,Low,1605.01,1604.01,1604.05,1606.72,101.84,High
30.78971,71.86646,2026-08-07,905,15.35,355.39,293.96,n,45.06,Medium,1604.97,1603.97,1604.02,1606.68,109.26,High
30.62494,72.0656,2026-08-07,905,2.81,330.11,293.52,n,21.61,Low,1580.35,1579.35,1579.4,1582.05,84.82,High
31.69593,73.21014,2026-08-07,905,2.58,339.71,293.91,n,26.77,Low,1649.64,1648.71,1648.76,1651.18,92.75,High
30.61991,72.13137,2026-08-07,905,5.18,355.67,293.97,n,37.59,Low,1577.2,1576.21,1576.26,1578.9,100.68,High
30.61707,72.13042,2026-08-07,905,2.56,334.09,293.6,n,23.64,Low,1576.96,1575.97,1576.01,1578.65,86.72,High
30.61736,72.13383,2026-08-07,905,2.56,337.32,293.34,n,25.43,Low,1576.85,1575.86,1575.9,1578.54,88.5,High
27.62686,69.46743,2026-08-07,905,5.3,344.75,302.75,n,31.61,Low,1436.77,1435.6,1435.69,1438.87,89.08,High
27.62732,69.47166,2026-08-07,905,5.3,336.3,303.63,n,26.92,Low,1436.53,1435.37,1435.46,1438.64,84.38,High
37.20391,68.12839,2026-08-07,905,46.07,346.14,315.83,n,62.96,Medium,2395.63,2394.64,2394.68,2397.34,158.78,Critical
29.47439,71.57051,2026-08-07,905,12.38,342.03,293.65,n,35.41,Low,1487.94,1486.9,1486.95,1489.76,94.93,High
29.47925,71.56997,2026-08-07,905,12.38,345.55,293.84,n,37.37,Low,1488.44,1487.4,1487.45,1490.25,96.91,High
26.64386,79.47507,2026-08-07,1947,2.77,295.42,265.29,n,2.31,Low,1013.2,1014.29,1015.22,1017.42,42.91,Low
25.43726,86.06737,2026-08-07,1947,1.08,310.9,290.9,n,9.64,Low,1173.84,1172.29,1177.53,1190.42,56.78,Medium
24.11555,86.86207,2026-08-07,1947,1.11,303.43,289.19,n,5.52,Low,1132.81,1130.57,1136.22,1152.76,51.04,Medium
25.03565,87.36957,2026-08-07,1947,1.86,306.65,290.57,n,7.87,Low,1237.55,1235.53,1241.05,1256.6,57.58,Medium
24.11618,86.85732,2026-08-07,1947,1.11,305.24,289.98,n,6.52,Low,1132.48,1130.24,1135.89,1152.42,52.03,Medium
35.98919,94.83079,2026-08-07,1947,0.62,296.21,283.02,n,1.14,Low,2603.34,2602.2,2606.9,2617.37,105.44,High
35.99247,94.8316,2026-08-07,1947,0.58,302.11,283.01,n,4.39,Low,2603.66,2602.52,2607.22,2617.69,108.7,High
23.73722,86.43314,2026-08-07,1949,6.64,329.09,290.81,n,23.92,Low,1072.53,1070.26,1075.93,1092.6,67.03,Medium
23.73785,86.4282,2026-08-07,1949,2.55,306.48,289.72,n,8.29,Low,1072.18,1069.91,1075.58,1092.24,51.39,Medium
23.66795,86.93554,2026-08-07,1949,2.06,298.17,281.34,n,3.31,Low,1108.43,1105.96,1111.75,1129.24,47.86,Low
23.72468,86.44123,2026-08-07,1949,1.72,304.22,289.04,n,6.41,Low,1072.3,1070.02,1075.7,1092.41,49.51,Low
23.68906,86.38818,2026-08-07,1949,1.83,303.34,290.07,n,6.01,Low,1065.61,1063.34,1069.01,1085.71,48.85,Low
23.6884,86.39319,2026-08-07,1949,1.83,301.71,289.27,n,5.1,Low,1065.97,1063.69,1069.37,1086.07,47.95,Low
27.46227,95.47478,2026-08-07,1949,1.22,297.33,277.66,n,2.21,Low,2057.63,2054.75,2060.78,2079.84,84.74,High
23.68398,86.39757,2026-08-07,1949,2.63,306.33,289.37,n,8.27,Low,1066.01,1063.73,1069.41,1086.13,51.12,Medium
23.68087,86.39198,2026-08-07,1949,3.06,302.45,289.54,n,6.43,Low,1065.35,1063.07,1068.75,1085.47,49.26,Low
23.68022,86.39696,2026-08-07,1949,2.02,309.59,289.83,n,9.62,Low,1065.7,1063.42,1069.1,1085.83,52.46,Medium
23.67646,86.39635,2026-08-07,1949,2.02,306.18,288.75,n,7.73,Low,1065.39,1063.11,1068.79,1085.53,50.56,Medium
23.69792,85.28923,2026-08-07,1949,1.32,300.5,288.09,n,4.05,Low,981.52,979.65,985.08,999.97,43.51,Low
23.67205,84.99582,2026-08-07,1949,1.86,300.43,288.25,n,4.41,Low,957.94,956.15,961.53,975.94,42.93,Low
23.66748,84.99914,2026-08-07,1949,1.32,300.96,288.84,n,4.3,Low,957.83,956.04,961.42,975.84,42.81,Low
23.6634,84.99857,2026-08-07,1949,1.32,303.84,287.12,n,5.9,Low,957.47,955.68,961.06,975.49,44.4,Low
29.26254,91.92178,2026-08-07,1949,1.44,301.34,284.78,n,4.6,Low,1885.16,1883.32,1888.73,1903.22,80.2,High
29.26521,91.92635,2026-08-07,1949,1.48,306.5,287.17,n,7.5,Low,1885.69,1883.85,1889.26,1903.75,83.13,High
29.66177,90.90686,2026-08-07,1949,1.06,299.46,286.92,n,3.27,Low,1842.55,1840.95,1846.22,1859.29,77.16,Medium
