latitude,longitude,acq_date,acq_time,frp,brightness,bright_t31,confidence,risk_score,risk_level
29.22012,88.95742,2026-08-07,722,11.32,349.19,311.38,n,38.6,Low
29.26978,88.90321,2026-08-07,722,3.97,336.33,309.42,l,25.94,Low
8.76202,78.18221,2026-08-07,858,5.28,335.65,274.04,n,26.54,Low
8.75627,78.18294,2026-08-07,858,5.28,351.99,275.14,n,35.62,Low
24.45387,68.30828,2026-08-07,902,4.49,335.35,294.28,n,25.78,Low
24.45394,68.31149,2026-08-07,902,4.14,335.11,298.14,n,25.39,Low
22.92664,70.10907,2026-08-07,902,3.96,333.56,292.97,n,24.39,Low
29.9692,72.58241,2026-08-07,905,1.89,333.64,293.09,n,22.88,Low
29.99058,72.58743,2026-08-07,905,4.97,344.35,293.35,n,31.14,Low
30.27074,73.32553,2026-08-07,905,8.07,352.08,294.2,n,37.76,Low
30.27043,73.32155,2026-08-07,905,4.6,330.42,294.05,n,23.13,Low
30.27128,73.32471,2026-08-07,905,8.61,367.0,294.51,h,46.46,Medium
30.65503,72.24939,2026-08-07,905,5.05,350.62,294.87,n,34.69,Low
30.66016,72.24886,2026-08-07,905,5.05,342.65,293.1,n,30.26,Low
30.79083,71.86834,2026-08-07,905,14.67,342.95,294.04,n,37.64,Low
30.78971,71.86646,2026-08-07,905,15.35,355.39,293.96,n,45.06,Medium
30.62494,72.0656,2026-08-07,905,2.81,330.11,293.52,n,21.61,Low
31.69593,73.21014,2026-08-07,905,2.58,339.71,293.91,n,26.77,Low
30.61991,72.13137,2026-08-07,905,5.18,355.67,293.97,n,37.59,Low
30.61707,72.13042,2026-08-07,905,2.56,334.09,293.6,n,23.64,Low
30.61736,72.13383,2026-08-07,905,2.56,337.32,293.34,n,25.43,Low
27.62686,69.46743,2026-08-07,905,5.3,344.75,302.75,n,31.61,Low
27.62732,69.47166,2026-08-07,905,5.3,336.3,303.63,n,26.92,Low
37.20391,68.12839,2026-08-07,905,46.07,346.14,315.83,n,62.96,Medium
