latitude,longitude,acq_date,acq_time,confidence,scan,satellite,track,bright_t31,instrument,daynight,version,frp,brightness
29.22012,88.95742,2026-08-07,722,n,0.39,SNPP,0.36,311.38,SNPP,D,2.0NRT,11.32,349.19
29.26978,88.90321,2026-08-07,722,l,0.39,SNPP,0.36,309.42,SNPP,D,2.0NRT,3.9699999999999998,336.33
8.76202,78.18221,2026-08-07,858,n,0.43,SNPP,0.62,274.04,SNPP,D,2.0NRT,5.28,335.65
8.75627,78.18294,2026-08-07,858,n,0.43,SNPP,0.62,275.14,SNPP,D,2.0NRT,5.28,351.99
24.45387,68.30828,2026-08-07,902,n,0.49,SNPP,0.41000000000000003,294.28,SNPP,D,2.0NRT,4.49,335.35
24.45394,68.31149,2026-08-07,902,n,0.49,SNPP,0.41000000000000003,298.14,SNPP,D,2.0NRT,4.14,335.11
22.92664,70.10907,2026-08-07,902,n,0.39,SNPP,0.44,292.97,SNPP,D,2.0NRT,3.96,333.56
29.9692,72.58241,2026-08-07,905,n,0.34,SNPP,0.56,293.09,SNPP,D,2.0NRT,1.8900000000000001,333.64
29.99058,72.58743,2026-08-07,905,n,0.34,SNPP,0.56,293.35,SNPP,D,2.0NRT,4.97,344.35
30.27074,73.32553,2026-08-07,905,n,0.38,SNPP,0.58,294.2,SNPP,D,2.0NRT,8.07,352.08
30.27043,73.32155,2026-08-07,905,n,0.38,SNPP,0.58,294.05,SNPP,D,2.0NRT,4.6,330.42
30.27128,73.32471,2026-08-07,905,h,0.38,SNPP,0.58,294.51,SNPP,D,2.0NRT,8.61,367.0
30.65503,72.24939,2026-08-07,905,n,0.33,SNPP,0.55,294.87,SNPP,D,2.0NRT,5.05,350.62
30.66016,72.24886,2026-08-07,905,n,0.33,SNPP,0.55,293.1,SNPP,D,2.0NRT,5.05,342.65
30.79083,71.86834,2026-08-07,905,n,0.62,SNPP,0.54,294.04,SNPP,D,2.0NRT,14.67,342.95
30.78971,71.86646,2026-08-07,905,n,0.62,SNPP,0.54,293.96,SNPP,D,2.0NRT,15.35,355.39
30.62494,72.0656,2026-08-07,905,n,0.32,SNPP,0.54,293.52,SNPP,D,2.0NRT,2.81,330.11
31.69593,73.21014,2026-08-07,905,n,0.38,SNPP,0.59,293.91,SNPP,D,2.0NRT,2.58,339.71
30.61991,72.13137,2026-08-07,905,n,0.32,SNPP,0.55,293.97,SNPP,D,2.0NRT,5.18,355.67
30.61707,72.13042,2026-08-07,905,n,0.32,SNPP,0.55,293.6,SNPP,D,2.0NRT,2.56,334.09
30.61736,72.13383,2026-08-07,905,n,0.32,SNPP,0.55,293.34,SNPP,D,2.0NRT,2.56,337.32
27.62686,69.46743,2026-08-07,905,n,0.41000000000000003,SNPP,0.45,302.75,SNPP,D,2.0NRT,5.3,344.75
