latitude,longitude,acq_date,acq_time,frp,brightness,bright_t31,confidence,risk_score,risk_level,hospital_km,industry_km,factory_km,powerplant_km,georisk_score,event_type,anomaly,anomaly_status,escalation_level,escalation_probability
29.22012,88.95742,2026-08-07,722,11.32,349.19,311.38,n,38.6,Low,1676.61,1675.28,1680.38,1691.85,105.84,Other,-1,Anomaly,CRITICAL,100.0
29.26978,88.90321,2026-08-07,722,3.97,336.33,309.42,l,25.94,Low,1677.26,1675.95,1681.03,1692.38,93.21,Agricultural Burning,1,Normal,HIGH,93.21
8.76202,78.18221,2026-08-07,858,5.28,335.65,274.04,n,26.54,Low,946.44,944.31,955.06,957.9,64.58,Agricultural Burning,1,Normal,MEDIUM,64.58
8.75627,78.18294,2026-08-07,858,5.28,351.99,275.14,n,35.62,Low,947.07,944.95,955.69,958.53,73.68,Agricultural Burning,1,Normal,MEDIUM,73.68
24.45387,68.30828,2026-08-07,902,4.49,335.35,294.28,n,25.78,Low,1286.94,1285.68,1285.8,1289.29,77.26,Agricultural Burning,1,Normal,MEDIUM,77.26
24.45394,68.31149,2026-08-07,902,4.14,335.11,298.14,n,25.39,Low,1286.67,1285.41,1285.54,1289.03,76.86,Agricultural Burning,1,Normal,MEDIUM,76.86
22.92664,70.10907,2026-08-07,902,3.96,333.56,292.97,n,24.39,Low,1039.98,1038.72,1038.85,1042.36,65.99,Agricultural Burning,1,Normal,MEDIUM,65.99
29.9692,72.58241,2026-08-07,905,1.89,333.64,293.09,n,22.88,Low,1493.6,1492.62,1492.66,1495.29,82.62,Agricultural Burning,1,Normal,MEDIUM,82.62
29.99058,72.58743,2026-08-07,905,4.97,344.35,293.35,n,31.14,Low,1495.57,1494.59,1494.63,1497.26,90.96,Agricultural Burning,1,Normal,HIGH,90.96
30.27074,73.32553,2026-08-07,905,8.07,352.08,294.2,n,37.76,Low,1497.31,1496.37,1496.41,1498.9,97.65,Agricultural Burning,1,Normal,HIGH,97.65
